10,Success 
20,No message submitted 
21,Invalid or no keyword submitted for this originating address 
22,Invalid API Key 
24,Invalid Shorten Type 
25,Invalid Body 
26,Invalid TTL 
27,Invalid Originating Address 
28,Invalid Device Address 
29,Devices use invalid carrier(s) 
30,Permission denied 
31,Invalid request 
99,Failure processing request
